Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
SNDMECA INDUSTRIE,France,Soignolles en Brie,http://sndmeca.fr/,,,Hall 6 / EF210,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SNECI,France,LEVALLOIS PERRET,https://www.sneci.com/,,,Hall 5b / C146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Snigel,Suède,Farsta,,,,Hall 6 / J177,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SNOWPACK,France,ORSAY,https://snowpack.eu/fr/,https://www.linkedin.com/company/snowpack/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=97c031fd-7acb-4ce7-a5fd-077d777738b5,Hall 5b / C-455-26,Distributeur,Electronic warfare,Land defense; Air defense; Homeland security; Cybersecurity; Intelligence / ISR; Weapons; Radar / sensors; AI / data; Simulation / training; Logistics / MRO; Space / satellite,Cybersecurity solutions; Logistics equipment; Communications networks; Software / Platforms; Weapons; Sensors; Radars; Energy / batteries; Engines / propulsion; Satellites / Space,Sub-systems / Components; Engineering / consulting; Integration services; Cloud / data services,Engineering / consulting; Cloud / data services,Cloud; Cybersecurity; Cryptography; Artificial intelligence; Robotics / autonomy; Simulation,Critical infrastructure; Land forces; Police / law enforcement; Aerospace primes; Intelligence agencies,France; Europe; United Kingdom; Middle East; Africa,Fournisseur potentiel,Cloud / data services,"Hardware appliances; Threat intelligence feeds; Mechanical parts; Materials; Communications networks; RF / microwave components; Embedded systems; Cybersecurity solutions; AI platforms; Composite materials; Optronics / Optics; Ammunition components; Electronic components; Materials (Li-ion, electrolytes); Materials (high temperature alloys); Sensors; Launch services",77.5,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed SNOWPACK builds Cybersecurity solutions, Logistics equipment (+8) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
SOAIRTECH,France,CHATEAUROUX,https://www.soairtech.fr/,,,Hall 6 / DE278,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Sobelcomp,Belgique,Loncin,https://www.sobelcomp.be/,,,Hall 4 / E78,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
"SOCAH HYDRAULIQUE, EDH, IDSYSTEM, LUCE HYDRO",France,CHATEAUBOURG,https://www.socah-hydraulique.fr/,https://www.linkedin.com/company/groupe-socah-hydraulique/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=04758f00-63a5-4448-8552-d323775918c9,Hall 5b / AB49,OEM,Logistics / MRO,Naval defense,,Finished products; Sub-systems / Components; Training; Engineering / consulting,Training; Engineering / consulting,,,France; Europe,Acheteur potentiel,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",49.6,C,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed SOCAH HYDRAULIQUE, EDH, IDSYSTEM, LUCE HYDRO builds — for Logistics / MRO.","MRO providers source spare parts, calibration tools and certification services. Procurement is the buyer.",Keep in watchlist,New,,,Medium
SOC-E,Espagne,Bilbao,http://www.soc-e.com/,https://www.linkedin.com/company/soc-e,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5b244fd9-7256-4453-ab98-74aba4953115,Hall 6 / J213,OEM,Cybersecurity,Naval defense; Dual-use technology; Export / distribution,Sensors; Electronic components; Logistics equipment; Software / Platforms; Communications networks; Energy / batteries,Sub-systems / Components; Distribution / agency,Distribution / agency,Cybersecurity; Simulation,Aerospace primes; Critical infrastructure,,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Industrial subcontracting / machining; Materials; Mechanical parts; Communications networks; Cloud / data services; Cybersecurity solutions; AI platforms; RF / microwave components; Materials (Li-ion, electrolytes); Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",71.0,B,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed SOC-E builds Sensors, Electronic components (+4) for Cybersecurity.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.",Review website and validate opportunity,New,,,High
SOCIETA' CONSORTILE A R.L.,Italie,ROMA,http://www.iveco-otomelara.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=c614cf7b-0a6d-4696-adc4-7304aabdd42b,Hall 6 / A176,OEM,C4ISR,Land defense; Air defense; Naval defense; Homeland security; Cybersecurity; UAV / drones; Counter-UAV; Armored vehicles; Weapons; Ammunition; Optics / optronics; Communications; Logistics / MRO; Export / distribution; Space / satellite,Vehicles; Optronics / Optics; Weapons; Logistics equipment; Energy / batteries; Engines / propulsion; Ammunition; Communications networks; Software / Platforms; Tactical radios; Satellites / Space; UAV / drones; Counter-UAV systems; Electronic components,Sub-systems / Components; Integration services,,Lidar / Laser; Thermal imaging; Composites; GNSS / GPS,Land forces; Navy; Police / law enforcement; Defense ministries; Aerospace primes,Europe; NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Ammunition components; Materials; Materials (Li-ion, electrolytes); Materials (high temperature alloys); Embedded systems; Energetic materials; Packaging; RF / microwave components; Cybersecurity solutions; Cloud / data services",74.0,B,"Composants, sous-systèmes, software, services pour primes C4ISR.",Hi — I noticed SOCIETA' CONSORTILE A R.L.,C4ISR primes integrate hundreds of components — the sourcing surface is huge. Procurement / supply chain is the entry point.,Review website and validate opportunity,New,,,High
SOCIÉTÉ D'ETUDES ET DE RÉALISATIONS THERMIQUES,France,ROMANS-SUR-ISERE CEDEX,http://www.sert.fr/,,,ExtPe6b / C55,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Société Générale,France,Paris,https://particuliers.sg.fr/,,,Hall 4 / D30,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOCITEC,France,SARTROUVILLE,https://www.socitec.com/,,,Hall 5a / EF341,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOFEMA,France,LEVALLOIS PERRET,http://www.sofema-international.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d7d21b34-6ff9-4839-a46d-00a57bfefa6a,ExtPe6b / B23,OEM,Logistics / MRO,Naval defense,Vehicles,Sub-systems / Components,,,,France; Europe,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",60.8,B,Vend des sous-systèmes / composants à un OEM construisant Vehicles.,Hi — SOFEMA ships Vehicles to defense customers.,SOFEMA performs MRO — they need parts and engineering support. Direct procurement angle.,Review website and validate opportunity,New,,,High
SOFF Service AB,Suède,STOCKHOLM,http://www.soff.se/,,,Hall 6 / J177,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOFFICO GMBH,Allemagne,AUGSBURG,http://www.soffico.de/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=925df6ea-663c-4601-ae00-cad4b78c6e92,Hall 5b / C369,OEM,Radar / sensors,Ammunition; Logistics / MRO,Software / Platforms; Ammunition; Sensors; Communications networks,Training,Training,Cloud; Simulation,,Germany; NATO,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Energetic materials; Mechanical parts; Packaging; Electronic components; Embedded systems; Composite materials; RF / microwave components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",73.6,B,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed SOFFICO GMBH builds Software / Platforms, Ammunition (+2) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Review website and validate opportunity,New,,,High
SOFRAME,France,HANGENBIETEN,http://www.soframe.com/,,,ExtPe6a / B211,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOFTCRYPTUM,France,PARIS,http://softcryptum.com/,https://www.linkedin.com/company/26792271/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=1daa04db-4902-461a-91c7-442c162b2433,Hall 6 / EF255,OEM,Electronic warfare,Homeland security; Cybersecurity; Radar / sensors; AI / data; Logistics / MRO,Sensors; Software / Platforms; Communications networks,,,Artificial intelligence; Big data / analytics; Cryptography,Police / law enforcement,France,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Cloud / data services; Cybersecurity solutions; AI platforms; RF / microwave components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",61.3,B,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed SOFTCRYPTUM builds Sensors, Software / Platforms (+1) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Review website and validate opportunity,New,,,High
SOGECLAIR,France,BLAGNAC,http://sogeclair.com/,https://www.linkedin.com/company/groupesogeclair/?originalSubdomain=fr,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=f01e794c-d62e-4fca-80ba-97fbb09a03c2,Hall 5a / G240,OEM,Space / satellite,UAV / drones; AI / data; Simulation / training; Logistics / MRO; Engineering services,Vehicles; Software / Platforms; Embedded systems; Simulators / Training; Satellites / Space; Robotics / UGV; Logistics equipment; Engines / propulsion; Communications networks; UAV / drones,Operational support; Certification / testing; Engineering / consulting; Training; Integration services,Operational support; Certification / testing; Engineering / consulting; Training,Artificial intelligence; Composites; Additive manufacturing; Simulation; Robotics / autonomy,Aerospace primes,Europe; Asia; Africa; Asia-Pacific; Middle East,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Cloud / data services; Cybersecurity solutions; AI platforms; Electronic components; Software; Hardware (display, motion platforms); Embedded systems; Launch services; Energy / batteries; Materials; Materials (high temperature alloys)",77.5,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed SOGECLAIR builds Vehicles, Software / Platforms (+8) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
SOGITEC,France,SURESNES CEDEX,https://www.sogitec.com/,,,Hall 5a / H239,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Solarcore,États-Unis,Portland,https://solarcore.tech/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=80c4d07f-48c3-4d68-8191-2da7b2ec3c91,Hall 4 / D287,OEM,Soldier systems,C4ISR; Logistics / MRO,Logistics equipment; Soldier equipment,Sub-systems / Components,,,Aerospace primes,,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Composite materials; Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",56.8,C,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Soldier equipment.","Hi — Solarcore ships Logistics equipment, Soldier equipment to Aerospace primes.",Solarcore sells to forces — they need certified materials and ergonomic sub-systems.,Keep in watchlist,New,,,Medium
SOLARMTEX,France,VIERZON,http://www.solarmtex.com/,,,Hall 6 / DE290,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOLCERA,France,EVREUX,http://www.solcera.com/,https://www.linkedin.com/company/solcera/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=ea20b294-0f86-413a-95b0-38c4efbcaa70,Hall 6 / DE225,OEM,Radar / sensors,Ballistic protection; Optics / optronics; Engineering services,Sensors; Mechanical parts; Vehicles; Optronics / Optics; Ballistic protection,Sub-systems / Components; Certification / testing,Certification / testing,Lidar / Laser,Aerospace primes,France,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Raw materials (steel, aluminium); Industrial subcontracting / machining; Engines / propulsion; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Textile / industrial fabrics; Certification / testing; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",69.5,B,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed SOLCERA builds Sensors, Mechanical parts (+3) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Review website and validate opportunity,New,,,High
Solstice,États-Unis,"MORRIS PLAINS, NJ",https://www.solstice.com/us/en,https://www.linkedin.com/company/solstice-advanced-materials/posts/?feedView=all,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=96014140-e673-4415-9aaf-7d071fc4b2f0,Hall 4 / H255,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",16.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Solstice at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
SOLUTECH INDUSTRIES,France,Roquemaure,https://www.solutech-industries.fr/,,,Hall 6 / DE326,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOMEPIC,France,BOUZINCOURT,https://somepic-technologie.com/,,,Hall 5b / C43,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SOPEMEA,France,VELIZY VILLACOUBLAY CEDEX,http://sopemea.apave.com/,https://www.linkedin.com/company/apave/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=3d257a39-604f-4ed7-ab97-77d804bc6a6d,Hall 6 / F187,Distributeur,Simulation / training,Logistics / MRO; Export / distribution,Communications networks; Simulators / Training; Vehicles; Electronic components,Sub-systems / Components; Certification / testing; Distribution / agency,Certification / testing; Distribution / agency,Simulation,Aerospace primes,Europe; France; United Kingdom,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Software; AI platforms; Hardware (display, motion platforms); Engines / propulsion; Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Industrial subcontracting / machining; Materials; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",72.5,B,"Visuel, motion, haptique, IA pour fabricants de simulateurs.","Hi — I noticed SOPEMEA builds Communications networks, Simulators / Training (+2) for Simulation / training.",Simulator builders source visual / motion / haptics hardware and AI components. Engineering is the buyer.,Review website and validate opportunity,New,,,High
SOPRA STERIA,France,PARIS,http://www.soprasteria.com/,https://www.linkedin.com/company/soprasteria/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=921f3ef7-e0a2-4c7e-82ca-8ee4d7dd0480,Hall 5a / K129,Distributeur,Electronic warfare,Naval defense; Cybersecurity; Counter-UAV; Armored vehicles; Radar / sensors; AI / data; Logistics / MRO; Engineering services; Space / satellite,Software / Platforms; Logistics equipment; Satellites / Space; Vehicles; Sensors; Radars; Engines / propulsion; Communications networks; Energy / batteries,Integration services; Engineering / consulting; Training; Sub-systems / Components; Certification / testing; Maintenance / MRO; Cloud / data services,Engineering / consulting; Training; Certification / testing; Maintenance / MRO; Cloud / data services,Artificial intelligence; Cybersecurity; Cloud; Robotics / autonomy; GNSS / GPS; Computer vision; Cryptography; Big data / analytics,Critical infrastructure; Aerospace primes; Intelligence agencies,Europe; France; Germany; United Kingdom; India,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Mechanical parts; Materials; Communications networks; Composite materials; Sensors; Embedded systems; Launch services; Engines / propulsion; Ballistic protection; Optronics / Optics; Electronic components; Materials (high temperature alloys); RF / microwave components; Materials (Li-ion, electrolytes); Industrial subcontracting / machining",75.5,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed SOPRA STERIA builds Software / Platforms, Logistics equipment (+7) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
SOPRIMA INDUSTRIE,France,SAINT OUEN L'AUMONE,http://www.soprima.com/,https://fr.linkedin.com/company/soprima-industrie,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=57dd8473-05c0-47cf-ae29-6636c991f66a,Hall 6 / EF224,OEM,Radar / sensors,,Sensors; Logistics equipment; Energy / batteries,Sub-systems / Components; Certification / testing; Finished products,Certification / testing,,,France,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Mechanical parts; Materials; Communications networks; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",57.3,C,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed SOPRIMA INDUSTRIE builds Sensors, Logistics equipment (+1) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Keep in watchlist,New,,,Medium
Sored S.A.,Suisse,La Chaux-de-Fonds,https://sored-sa.com/,,,Hall 6 / GH,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Sotrad Water,Belgique,Nivelles,https://www.sotradwater.be/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d17965b4-2b09-456a-90dc-6d1b7768c3b8,Hall 6 / J138,OEM,Other,,Logistics equipment,,,,,,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",32.4,D,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Hi — Sotrad Water ships Logistics equipment to defense customers.,Qualify the activity before pitching.,No immediate action,New,,,Medium
SOUCY INTERNATIONAL INC. - DEFENSE DIVISION,Canada,DRUMMONDVILLE QC,http://www.soucy-defense.com/,https://www.linkedin.com/company/soucy-defense,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4c797959-77dc-4bcf-aa9c-62ac47cabb7f,Hall 6 / J83,OEM,Radar / sensors,Land defense; Armored vehicles; Ammunition; Logistics / MRO,Vehicles; Logistics equipment; Mechanical parts; Communications networks; Sensors; Ammunition; Composite materials,Sub-systems / Components,,Composites; Robotics / autonomy,Land forces; Aerospace primes; Defense ministries,Europe; Asia,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials; Raw materials (steel, aluminium); Industrial subcontracting / machining; RF / microwave components; Embedded systems; Cybersecurity solutions; Electronic components; Energetic materials; Packaging; Raw materials (carbon fiber, resins); Curing equipment",75.0,A,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Hi — I noticed SOUCY INTERNATIONAL INC.,"Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Contact sales team and qualify need,New,,,High
Source Tactical Gear,Israël,TIRAT A CARMEL,https://www.sourcetacticalgear.net/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=92dffeb9-0800-4b73-ac82-039b8bf067f4,Hall 6 / C295,OEM,Soldier systems,Land defense; Naval defense; Homeland security; Weapons; Ballistic protection; NRBC / CBRN,Soldier equipment; Ballistic protection; NRBC / CBRN; Weapons; Communications networks; Naval systems,Finished products,,Cloud,Land forces; Police / law enforcement,,Acheteur potentiel,Composite materials,"Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Certification / testing; Sensors; Filtration materials; Personal protective equipment; Mechanical parts; Ammunition components; RF / microwave components; Embedded systems; Cybersecurity solutions; Communications networks; Engines / propulsion; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",69.0,B,"Vend des sous-systèmes / composants à un OEM construisant Soldier equipment, Ballistic protection.","Hi — Source Tactical Gear ships Soldier equipment, Ballistic protection (+4) to Land forces, Police / law enforcement.",Source Tactical Gear sells to forces — they need certified materials and ergonomic sub-systems.,Review website and validate opportunity,New,,,High
SP DEFENSE,France,ROISSY CH DE GAULLE CEDEX,https://www.honeywellsafety.com/,,,Hall 5a / H261,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Space Inventor,Danemark,Aalborg,,,,Hall 6 / J146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SPACEBEL,Belgique,ANGLEUR,https://www.spacebel.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5e5b26f9-f94a-4d06-a71f-d86bbaac2b6d,Hall 4 / E78,Sous-traitant industriel,Space / satellite,Radar / sensors; Simulation / training; Engineering services,Software / Platforms; Satellites / Space; Vehicles; Simulators / Training; Radars,Sub-systems / Components; Training,Training,Simulation; RF / microwave; Cloud; Robotics / autonomy,Aerospace primes,Europe; France,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Composite materials; Sensors; Embedded systems; Launch services; Engines / propulsion; Mechanical parts; Communications networks; Ballistic protection; Optronics / Optics; Software; Hardware (display, motion platforms); Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",69.0,B,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed SPACEBEL builds Software / Platforms, Satellites / Space (+3) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Review website and validate opportunity,New,,,High
SpaceForest,Pologne,GDYNIA,https://spaceforest.pl/,,,Hall 5b / DE303,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SPAFAX,Royaume-Uni,BASINGSTOKE,https://www.www.spafaxmirrors.com/,,,Hall 5a / C371,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
"Spanner SK, k.s.",Slovaquie,Povazska Bystrica,,,,Hall 5b / A297,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Spar-Tac d.o.o.,Croatie,Ivanic Grad,https://www.spar-tac.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=ad931bf7-6860-4af6-8539-3eaa843b3d65,Hall 4 / E31,OEM,Soldier systems,Naval defense; Homeland security; Ammunition; Ballistic protection; Optics / optronics,Communications networks; Ballistic protection; Optronics / Optics; Soldier equipment; Ammunition,Engineering / consulting; Finished products; Sub-systems / Components; Certification / testing,Engineering / consulting; Certification / testing,,Police / law enforcement; Navy; Special forces,Europe; NATO,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Composite materials; Textile / industrial fabrics; Certification / testing; Electronic components; Mechanical parts; Optronics / Optics; Energy / batteries; Energetic materials; Packaging; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",74.0,B,"Textiles, composites, optronique, énergie pour kits soldat.",Hi — I noticed Spar-Tac d.o.o.,"Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.",Review website and validate opportunity,New,,,High
SPECIALTY TECHNOLOGIES,Allemagne,IGERSHEIM,http://www.wittenstein-motion-control.de/,,,Hall 5b / A275,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SPEG PRONERGY,France,VILLEBON SUR YVETTE,https://www.faar-pronergy.com/,,,Hall 6 / EF324,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
SPETSTECHNOEXPORT,Ukraine,KYIV,http://spetstechnoexport.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=e21b59d8-da8d-41d4-854d-cd41c733cbe7,Hall 5a / B32,À vérifier,Other,,,,,,Defense ministries,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",18.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed SPETSTECHNOEXPORT at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
Sphere Defense,Belgique,BRUSSELS,http://www.sphere-df.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7d3e39bc-fce8-4e4d-b9e2-64279050ce73,Hall 4 / E298,OEM,Air defense,UAV / drones; Counter-UAV; Weapons; Electronic warfare; Radar / sensors; Logistics / MRO,UAV / drones; Counter-UAV systems; Sensors; Weapons,Sub-systems / Components,,Robotics / autonomy; Artificial intelligence,Critical infrastructure,Europe,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Electronic components; Mechanical parts; Ammunition components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits",67.5,B,"Radars, missiles, comms, électroniques pour systèmes anti-aériens.","Hi — I noticed Sphere Defense builds UAV / drones, Counter-UAV systems (+2) for Air defense.","Air defense systems buy radars, missile components, comms and electronics.",Review website and validate opportunity,New,,,High
SPHEREA TEST ET SERVICES,France,TOULOUSE CEDEX,http://www.spherea.com/,,,Hall 5a / F63,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
