exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
1912,SIDES,France,http://www.sides.fr/,,La gamme industrielle de Sides est conçue pour vous permettre d’intervenir sur un sinistre rapidement et en toute sécurité.,OEM,armes légères · accessoires d'armement · ensembles mécaniques pour armes · armes · équipement logistique · modules de transport tactique · ensembles palettisés militaires,Armes légères & accessoires · Logistique militaire & transport,formation · certification / tests,Formation & entraînement · Certification & tests,Sécurité civile,RF / micro-ondes,Communications RF / micro-ondes,"Acheteur potentiel de mécanique de précision, optronique, matériaux énergétiques pour ses lignes armes — également compétiteur sur le segment armes.",100,medium
1913,Sieć Badawcza Łukasiewicz – Przemysłowy Instytut Motoryzacji,Poland,https://pimot.lukasiewicz.gov.pl/,,"Conçoit et fabrique des équipement logistique, réseaux de communication, moteurs / propulsion pour armées.",Tier 1,équipement logistique · réseaux de communication · moteurs / propulsion,Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Moteurs aéronautiques,,,MoD / Armées,cloud,Cloud & cloud souverain,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1914,siegmund,Germany,https://www.siegmund.com/,,Entrez en contact avec Siegmund ! Nous sommes là pour répondre à vos demandes et vous offrir notre soutien pour toutes vos questions sur…,Tier 1,équipement logistique · modules de transport tactique · ensembles palettisés militaires · logiciels métier défense · plateformes de gestion opérationnelle · modules d'analyse de données,Logistique militaire & transport · Logiciels métier défense (autres),,,,Lidar / Laser · cloud,Lidar / Laser · Cloud & cloud souverain,À qualifier — données publiques insuffisantes pour trancher.,75,medium
1915,Siemens Digital Industries Software,France,https://www.siemens.com/en-us/,,"Conçoit et fabrique des véhicules militaires, drones aériens, logiciels métier défense pour forces de sécurité.",OEM,véhicules militaires · drones aériens · logiciels métier défense · robots terrestres (UGV) · équipement logistique,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Logiciels métier défense (autres) · Robots terrestres (UGV / EOD) · Logistique militaire & transport,ingénierie / conseil · formation · intégration de systèmes,Ingénierie & conseil · Formation & entraînement · Intégration de systèmes,Sécurité civile,IA / vision · cloud · robotique / autonomie · simulation · big data / analyse,IA / machine learning · Cloud & cloud souverain · Robotique & autonomie · Navigation inertielle · Simulation & VR/AR · Big data & analytics,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
1916,SIEPEL,France,https://www.siepel.com/,,Nom * Prénom * Nom de votre entreprise* Téléphone * E-mail * Localisation (code postal et ville) * Pays * Objet * Votre message * CAPTCHA…,OEM,radars de surveillance · modules de traitement signal radar · antennes radar · radars · réseaux de communication militaires · infrastructure RF durcie · stations de commandement,Radars & traitement signal · Armes légères & accessoires · Antennes & infrastructures RF · Systèmes C2 & C4ISR,MCO / MRO · ingénierie / conseil · formation · certification / tests,MCO / MRO · Ingénierie & conseil · Formation & entraînement · Certification & tests,MoD / Armées,RF / micro-ondes · cybersécurité · 5G / sans-fil,Communications RF / micro-ondes · Cybersécurité · 5G / réseaux radio mobiles,Compétiteur sur radars de surveillance — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1917,Sierra Olympia Technologies,USA,https://sierraolympia.com/,,"Conçoit et fabrique des capteurs embarqués, systèmes optroniques, équipement logistique pour forces de sécurité.",Tier 1,capteurs embarqués · systèmes optroniques · équipement logistique · moteurs / propulsion · logiciels métier défense,Capteurs embarqués (généraux) · Optronique & viseurs (EO/IR) · Logistique militaire & transport · Moteurs aéronautiques · Logiciels métier défense (autres),certification / tests · distribution / représentation · intégration de systèmes,Certification & tests · Distribution & représentation · Intégration de systèmes,"Sécurité civile, Primes défense, Export / international",RF / micro-ondes · imagerie thermique,Communications RF / micro-ondes · Imagerie infrarouge,"Acheteur potentiel de composants électroniques, optique, packaging hyperfréquence pour ses lignes capteurs — également compétiteur sur le segment capteurs.",100,high
1918,SIG SAUER,USA,http://www.sigsauer.com/,,"Conçoit et fabrique des systèmes optroniques, armes, munitions pour armées et forces de sécurité.",OEM,systèmes optroniques · armes · munitions · robots terrestres (UGV) · équipement logistique,Optronique & viseurs (EO/IR) · Armes légères & accessoires · Munitions petit/moyen calibre · Robots terrestres (UGV / EOD) · Logistique militaire & transport,,,"Sécurité civile, MoD / Armées, Export / international",Lidar / Laser · robotique / autonomie,Lidar / Laser · Robotique & autonomie,"Acheteur potentiel de détecteurs IR, cryocoolers, optique de précision pour ses lignes optronique — également compétiteur sur le segment optronique.",100,high
1919,Sightline Intelligence,USA,http://sightlineintelligence.com/,,Fournit field proven video processing at the edge for defense missions.,OEM,,Véhicules tactiques (non blindés),intégration de systèmes,Intégration de systèmes,Sécurité civile,IA / vision · cloud · RF / micro-ondes · robotique / autonomie · edge computing,IA / machine learning · Cloud & cloud souverain · Communications RF / micro-ondes · Robotique & autonomie · Edge computing & GPU embarqué,Prestataire potentiel de intégration de systèmes pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
1920,SIGNALGENERIX LIMITED,Cyprus,https://www.signalgenerix.com/,,"Conçoit et fabrique des capteurs embarqués, logiciels métier défense, composants électroniques pour armées et forces de sécurité.",Tier 1,capteurs embarqués · logiciels métier défense · composants électroniques · équipement logistique · réseaux de communication,Capteurs embarqués (généraux) · Logiciels métier défense (autres) · Composants électroniques & cartes · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET),certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"MoD / Armées, Sécurité civile",5G / sans-fil · RF / micro-ondes · robotique / autonomie · cybersécurité,5G / réseaux radio mobiles · Communications RF / micro-ondes · Robotique & autonomie · Cybersécurité,"Acheteur potentiel de composants électroniques, optique, packaging hyperfréquence pour ses lignes capteurs — également compétiteur sur le segment capteurs.",100,high
1921,Silicon Sensing Systems,United-Kingdom,https://www.siliconsensing.com/,,"Conçoit et fabrique des gyroscopes MEMS et capteurs inertiels pour navigation militaire, drones et missiles.",OEM,gyroscopes MEMS DMU30 · centrales inertielles MEMS · capteurs IMU pour drones,Drones aériens (UAV) · Capteurs embarqués (généraux),ingénierie d'intégration,Intégration de systèmes · Ingénierie & conseil,"Primes défense, Industriels défense, Export / international",MEMS gyroscopes · navigation inertielle,MEMS & capteurs miniaturisés · Navigation inertielle,"Compétiteur UK sur MEMS gyros (vs Honeywell, KVH, Northrop) — fournisseur Tier-1 pour intégrateurs missiles, drones et munitions guidées.",85,manual
1922,SILL OPTICS GMBH,Germany,http://www.silloptics.de/en/,,"Conçoit et fabrique des optiques de précision et systèmes optiques pour laser, imagerie et applications défense.",Tier 2,lentilles f-theta · beam expanders · lentilles asphériques · lentilles de focalisation laser · lentilles télécentriques · lentilles d'imagerie sur mesure · condenseurs optiques,Composants électroniques & cartes,développement optique sur mesure · prototypage et série · traitements de surface (coatings),Sous-traitance industrielle · Ingénierie & conseil,"Industriels défense, Primes défense, Export / international",Optique de précision · Photonique & fibres optiques · Lidar / Laser,Optique de précision · Lidar / Laser · Imagerie infrarouge,"Fournisseur OEM d'optiques laser et d'imagerie de précision pour systèmes optroniques défense (désignateurs, viseurs, capteurs aérospatiaux).",100,manual
1923,SILMOR,Latvia,https://silmor.eu/en/,,(données publiques trop pauvres — fournisseur letton à qualifier),Tier 3,,Pièces mécaniques & usinage,,,Industriels défense,,,À qualifier — données publiques insuffisantes.,65,manual
1924,SILTEC,Poland,http://www.siltec.pl/,,"Conçoit et fabrique des équipements TEMPEST, data centers mobiles et systèmes d'alimentation pour la défense polonaise.",Tier 1,ordinateurs et périphériques TEMPEST · data centers mobiles · équipements réseau durcis TEMPEST · composants de protection électromagnétique · groupes électrogènes militaires · infrastructures IT classifiées,"Systèmes C2 & C4ISR · Boîtiers & châssis durcis · Groupes électrogènes & énergie tactique · Conteneurs, malles, shelters",production et prototypage électronique · intégration de systèmes IT classifiés · sous-traitance industrielle défense,Intégration de systèmes · Sous-traitance industrielle,"MoD / Armées, Primes défense, Export / international",TEMPEST / SDIP-27 · blindage électromagnétique · communications sécurisées · énergie tactique,Cybersécurité · Microélectronique & semiconducteurs durcis · Communications RF / micro-ondes,Fournisseur polonais de référence en équipements TEMPEST conformes OTAN — partenaire ou compétiteur sur les infrastructures IT classifiées et data centers mobiles.,100,manual
1925,Silvus Technologies Inc.,USA,https://silvustechnologies.com/,,"Conçoit et fabrique des drones aériens, logiciels métier défense, radios tactiques pour armées et forces de sécurité.",OEM,drones aériens · logiciels métier défense · radios tactiques · robots terrestres (UGV) · équipement logistique,Drones aériens (UAV) · Logiciels métier défense (autres) · Radios tactiques & SDR · Robots terrestres (UGV / EOD) · Logistique militaire & transport,formation · certification / tests · intégration de systèmes,Formation & entraînement · Certification & tests · Intégration de systèmes,"MoD / Armées, Sécurité civile, Export / international",5G / sans-fil · RF / micro-ondes · cryptographie · cloud · GNSS / GPS,5G / réseaux radio mobiles · Communications RF / micro-ondes · Cryptographie · Cloud & cloud souverain · GNSS / navigation satellite,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,high
1926,SIMA INNOVATION,Denmark,http://www.simainnovation.com/,,Conçoit et fabrique des Ringmounts modulaires et Softmounts (anneaux de tir motorisés) pour véhicules blindés (SIMA).,OEM,Ringmounts modulaires motorisés · Softmounts pour mitrailleuses · anneaux de tir véhicules,Armes légères & accessoires,intégration véhicule · MCO Ringmounts,Intégration de systèmes · MCO / MRO,"Primes défense, MoD / Armées, Export / international",mécanique d'armement,Autre — à qualifier,Centre d'excellence européen Ringmounts — fournisseur pour primes véhicules blindés (vs Recoil Reduction Systems).,100,manual
1927,SIMOL,Italy,http://www.simol.com/,,"Conçoit et fabrique des bequilles, vérins et stabilisateurs pour véhicules industriels, agricoles et militaires.",Tier 3,béquilles télescopiques · vérins de stabilisation · ensembles de levage,Hydraulique & motion control,fourniture OEM,Sous-traitance industrielle,Industriels défense,mécanique,Autre — à qualifier,"Fournisseur italien mécanique — partenaire pour véhicules tactiques avec extensions stabilisées (postes radar, génie).",100,manual
1928,SIMTECH,Belgium,https://www.simtech.be/,,"Conçoit et fabrique des véhicules militaires, drones aériens, matériaux composites.",OEM,véhicules militaires · drones aériens · matériaux composites,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Matériaux composites & blindage,certification / tests,Certification & tests,MoD / Armées,RF / micro-ondes · matériaux composites,Communications RF / micro-ondes · Matériaux composites,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
1929,Sine Engineering,Ukraine,http://www.sineeng.com/,,A Ukrainian engineering company redefining how unmanned systems are managed.,OEM,,Pièces mécaniques & usinage · Drones aériens (UAV) · Systèmes de guerre électronique (EW) · Avionique & instruments embarqués,,,Export / international,GNSS / GPS,GNSS / navigation satellite,Cible commerciale sur le segment export / international — à qualifier sur portefeuille produit / services.,80,medium
1930,SİNERJİ YÜKSEK TEKNOLOJİ A.Ş.,Turkey,http://www.sinerjitech.com/,,Conçoit et fabrique des munitions et matériels énergétiques pour les armées.,Tier 1,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,Groupes électrogènes & énergie tactique · Batteries & packs énergétiques,,,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,Autre — à qualifier,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,medium
1931,SINTRONES Technology Corp.,Taiwan,http://www.sintrones.com/,,SINTRONES (TWSE 6680) is a global innovator in rugged industrial and Edge AI computing.,Tier 1,,Plateformes IA / vision défense,certification / tests · distribution / représentation · intégration de systèmes,Certification & tests · Distribution & représentation · Intégration de systèmes,"Sécurité civile, Export / international",IA / vision · edge computing · cloud · 5G / sans-fil · GNSS / GPS,IA / machine learning · Edge computing & GPU embarqué · Cloud & cloud souverain · 5G / réseaux radio mobiles · GNSS / navigation satellite,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,high
1932,SIOEN BALLISTICS,Belgium,http://www.sioen.be/,,"Conçoit et fabrique des protection balistique, matériaux composites, réseaux de communication pour forces de sécurité.",OEM,protection balistique · matériaux composites · réseaux de communication · équipement NRBC,"Gilets & plaques pare-balles · Matériaux composites & blindage · Réseaux militaires (5G/P-LTE/MANET) · NRBC (masques, tenues, détecteurs)",,,Sécurité civile,matériaux composites,Matériaux composites,Compétiteur sur protection balistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1933,"SISU AXLES, INC.",Finland,https://www.sisuaxles.com/,,"Conçoit des systèmes de transmission, essieux et suspensions pour véhicules militaires.",Tier 3,suspensions hydropneumatiques · amortisseurs blindés · ensembles de suspension chars,Hydraulique & motion control · Mécanique de transmission,certification / tests · sous-traitance · distribution / représentation,Certification & tests · Sous-traitance industrielle · Distribution & représentation,"Primes défense, MoD / Armées, Export / international",amortisseurs militaires,Hydraulique haute performance,Fournisseur Tier-1 suspensions chars — partenaire pour primes véhicules blindés.,100,medium
1934,SKB Cases,USA,https://www.skbcases.com/,,"Conçoit et fabrique des véhicules militaires, drones aériens, munitions pour forces de sécurité.",OEM,véhicules militaires · drones aériens · munitions · équipement logistique · systèmes optroniques,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Munitions petit/moyen calibre · Logistique militaire & transport · Optronique & viseurs (EO/IR),certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Sécurité civile, Primes défense",5G / sans-fil · RF / micro-ondes,5G / réseaux radio mobiles · Communications RF / micro-ondes,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
1935,SKELETON TECHNOLOGIES,Estonia,http://www.skeletontech.com/,,"Distribue des véhicules militaires, logiciels métier défense, batteries / sources d'énergie pour primes défense.",OEM,véhicules militaires · logiciels métier défense · batteries / sources d'énergie · moteurs / propulsion · équipement logistique,Véhicules tactiques (non blindés) · Logiciels métier défense (autres) · Batteries & packs énergétiques · Moteurs aéronautiques · Logistique militaire & transport,distribution / représentation · certification / tests,Distribution & représentation · Certification & tests,"Primes défense, Export / international",Lidar / Laser · simulation,Lidar / Laser · Navigation inertielle · Simulation & VR/AR,Canal de distribution sur le marché primes défense — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,medium
1936,SKYCOPE C-UAS TECHNOLOGIES INC.,Canada,,,Conçoit et fabrique des systèmes anti-drone (détection RF + neutralisation) pour applications militaires et de sécurité.,OEM,système Skycope C-UAS · détecteurs RF de drone · modules de classification,Systèmes anti-drone (C-UAS) · Drones aériens (UAV),formation opérateurs · intégration site,Formation & entraînement · Intégration de systèmes,"Sécurité civile, MoD / Armées, Export / international",RF / micro-ondes · détection drone,Communications RF / micro-ondes,Compétiteur canadien anti-drone — partenaire pour intégrateurs de protection d'infrastructures critiques.,85,manual
1937,SKYDIO,USA,https://www.skydio.com/,,"Distribue des drones aériens, capteurs embarqués, logiciels métier défense pour armées et forces de sécurité.",OEM,drones aériens · capteurs embarqués · logiciels métier défense · robots terrestres (UGV) · véhicules militaires,Drones aériens (UAV) · Capteurs embarqués (généraux) · Logiciels métier défense (autres) · Robots terrestres (UGV / EOD) · Véhicules tactiques (non blindés),certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Sécurité civile, MoD / Armées",cloud · robotique / autonomie · 5G / sans-fil · IA / vision · vision par ordinateur,Cloud & cloud souverain · Robotique & autonomie · 5G / réseaux radio mobiles · IA / machine learning · Vision par ordinateur,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,high
1938,SKYETON,Ukraine,https://skyeton.com/,,"Distribue des drones aériens, équipement logistique, systèmes satellitaires pour armées et forces de sécurité.",OEM,drones aériens · équipement logistique · systèmes satellitaires · logiciels métier défense · capteurs embarqués,Drones aériens (UAV) · Logistique militaire & transport · Satellites & CubeSats · Logiciels métier défense (autres) · Capteurs embarqués (généraux),distribution / représentation · intégration de systèmes,Distribution & représentation · Intégration de systèmes,"Sécurité civile, MoD / Armées",vol autonome · RF / micro-ondes · communications satellite · GNSS / GPS,Robotique & autonomie · Vol autonome & GPS-denied · Communications RF / micro-ondes · GNSS / navigation satellite,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,high
1939,SkyFall,Ukraine,https://www.skyfall.ua/,,Conçoit et fabrique des drones FPV / kamikazes et munitions rôdeuses pour les forces ukrainiennes (battle-proven).,OEM,drones FPV kamikazes · munitions rôdeuses tactiques · stations de contrôle au sol,Drones FPV & munitions rôdeuses · Drones aériens (UAV) · Munitions petit/moyen calibre · Composants électroniques & cartes,formation pilotes · support opérationnel,Formation & entraînement · Support opérationnel & OPEX,"MoD / Armées, Export / international",drones FPV · vol autonome · vision IA,Robotique & autonomie · Vol autonome & GPS-denied · IA / machine learning,Pépite ukrainienne battle-proven — partenaire stratégique pour les armées européennes voulant adopter drones FPV bon marché à grande échelle.,85,manual
1940,Skyld,France,https://skyld.io/,,"Conçoit et fabrique des véhicules militaires, radars, batteries / sources d'énergie.",OEM,véhicules militaires · radars · batteries / sources d'énergie · réseaux de communication · logiciels métier défense,Véhicules tactiques (non blindés) · Radars & traitement signal · Batteries & packs énergétiques · Réseaux militaires (5G/P-LTE/MANET) · Logiciels métier défense (autres),,,MoD / Armées,IA / vision · edge computing · cryptographie · robotique / autonomie · cybersécurité,IA / machine learning · Edge computing & GPU embarqué · Cryptographie · Robotique & autonomie · Cybersécurité,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
1941,SkyRadar,Luxembourg,http://www.skyradar.com/,,"Conçoit et fabrique des radars, systèmes optroniques, logiciels métier défense pour forces de sécurité.",OEM,radars · systèmes optroniques · logiciels métier défense · simulateurs d'entraînement · équipement logistique,Radars & traitement signal · Optronique & viseurs (EO/IR) · Logiciels métier défense (autres) · Simulateurs d'entraînement & VR/AR · Logistique militaire & transport,certification / tests · formation · intégration de systèmes,Certification & tests · Formation & entraînement · Intégration de systèmes,"Sécurité civile, Primes défense",IA / vision · simulation · RF / micro-ondes · cybersécurité · 5G / sans-fil,IA / machine learning · Navigation inertielle · Simulation & VR/AR · Communications RF / micro-ondes · Cybersécurité · 5G / réseaux radio mobiles,"Acheteur potentiel de RF / micro-ondes, antennes, traitement signal embarqué pour ses lignes radars — également compétiteur sur le segment radars.",100,high
1942,SKY-WATCH,Denmark,http://sky-watch.com/,,"Conçoit et fabrique des drones tactiques (ISR, munitions rôdeuses, frappe de précision).",OEM,drones FPV de combat · munitions rôdeuses tactiques · stations de contrôle,Drones FPV & munitions rôdeuses · Drones aériens (UAV) · Munitions petit/moyen calibre · Composants électroniques & cartes · Véhicules tactiques (non blindés),formation · certification / tests · intégration de systèmes,Formation & entraînement · Certification & tests · Intégration de systèmes,"MoD / Armées, Export / international, Primes défense, Sécurité civile",vol autonome · IA / vision,Robotique & autonomie · Vol autonome & GPS-denied · IA / machine learning,Compétiteur de niche sur drones FPV battle-proven (Ukraine) — partenaire pour intégrateurs de drones à grande échelle.,100,high
1943,Sky-Watch,Denmark,,,"Conçoit et fabrique des drones tactiques (Sky-Watch H1, Sky-Watch X) pour ISR militaire et police.",OEM,drone Sky-Watch H1 (longue endurance) · drone X (rotor) · stations de contrôle,Drones aériens (UAV),formation pilotes · MCO drones,Formation & entraînement · MCO / MRO,"MoD / Armées, Sécurité civile, Export / international",drones VTOL · vol autonome,Robotique & autonomie · Vol autonome & GPS-denied,Compétiteur danois sur drones ISR portables — partenaire potentiel pour intégrateurs cherchant des drones VTOL prêts à l'emploi.,85,manual
1944,SLM SOLUTIONS (FRANCE),France,https://www.nikon-slm-solutions.com/,,"Conçoit et fabrique des moteurs / propulsion, armes, munitions pour primes et armées.",OEM,moteurs / propulsion · armes · munitions · véhicules militaires · pièces mécaniques,Moteurs aéronautiques · Armes légères & accessoires · Munitions petit/moyen calibre · Véhicules tactiques (non blindés) · Pièces mécaniques & usinage,certification / tests · ingénierie / conseil · intégration de systèmes,Certification & tests · Ingénierie & conseil · Intégration de systèmes,"MoD / Armées, Primes défense, Export / international",RF / micro-ondes · Lidar / Laser · fabrication additive · simulation,Communications RF / micro-ondes · Lidar / Laser · Fabrication additive · Navigation inertielle · Simulation & VR/AR,Compétiteur sur moteurs / propulsion — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,high
1945,SMAG Mobile Antenna Masts GmbH,Germany,http://www.smag.de/,,Conçoit et fabrique des mâts d'antenne mobiles pour communications militaires déployables.,Tier 2,antennes RF durcies · antennes phased-array militaires,Antennes & infrastructures RF · Terminaux & antennes spatiales,distribution / représentation · MCO / MRO · certification / tests · intégration de systèmes,Distribution & représentation · MCO / MRO · Certification & tests · Intégration de systèmes,"Primes défense, MoD / Armées, Export / international, Sécurité civile",antennes durcies,Autre — à qualifier,Fournisseur Tier-1 d'antennes durcies — partenaire pour primes véhicules et naval.,65,high
1946,SMARTSHOOTER,Israel,http://www.smart-shooter.com/,,Conçoit et fabrique des armes légères et accessoires pour militaires et police.,OEM,fusils d'assaut · pistolets de service · fusils de précision,Armes légères & accessoires · Plateformes IA / vision défense,support opérationnel · intégration de systèmes,Support opérationnel & OPEX · Intégration de systèmes,"MoD / Armées, Sécurité civile, Export / international",mécanique d'armement,Autre — à qualifier,Compétiteur sur armes légères pour fantassins et police — acheteur de matériaux énergétiques et composants mécaniques de précision.,100,high
1947,SMPP LIMITED,India,http://www.smgroupindia.com/,,"Conçoit et fabrique des véhicules militaires, drones aériens, équipement du fantassin pour armées et forces de sécurité.",OEM,véhicules militaires · drones aériens · équipement du fantassin · armes · munitions,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Équipement du fantassin (général) · Armes légères & accessoires · Munitions petit/moyen calibre,certification / tests · ingénierie / conseil,Certification & tests · Ingénierie & conseil,"Sécurité civile, MoD / Armées",RF / micro-ondes,Communications RF / micro-ondes,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
1948,SMS group,Germany,https://www.sms-group.com/,,"Conseille en ingénierie sur des logiciels métier défense, batteries / sources d'énergie, équipement logistique.",Tier 1,logiciels métier défense · batteries / sources d'énergie · équipement logistique · réseaux de communication · moteurs / propulsion,Logiciels métier défense (autres) · Batteries & packs énergétiques · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Moteurs aéronautiques,ingénierie / conseil · MCO / MRO · certification / tests · intégration de systèmes,Ingénierie & conseil · MCO / MRO · Certification & tests · Intégration de systèmes,Export / international,robotique / autonomie · Lidar / Laser,Robotique & autonomie · Lidar / Laser,Compétiteur sur logiciels métier défense — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
1949,Smytec,United-Kingdom,https://www.smytec-ltd.com/,,"Conçoit et fabrique des équipement logistique, logiciels métier défense, capteurs embarqués pour armées et forces de sécurité.",OEM,équipement logistique · logiciels métier défense · capteurs embarqués · munitions · véhicules militaires,Logistique militaire & transport · Logiciels métier défense (autres) · Capteurs embarqués (généraux) · Munitions petit/moyen calibre · Véhicules tactiques (non blindés),intégration de systèmes,Intégration de systèmes,"Sécurité civile, MoD / Armées",GNSS / GPS · 5G / sans-fil · robotique / autonomie,GNSS / navigation satellite · 5G / réseaux radio mobiles · Robotique & autonomie,"Acheteur potentiel de gestion de flotte, télémétrie, énergie pour ses lignes logistique — également compétiteur sur le segment logistique.",100,high
1950,SNDMECA INDUSTRIE,France,http://sndmeca.fr/,,Conçoit et fabrique des sous-systèmes techniques pour la défense et l'aéronautique.,Tier 3,,Pièces mécaniques & usinage,MCO / MRO · sous-traitance · certification / tests · intégration de systèmes,MCO / MRO · Sous-traitance industrielle · Certification & tests · Intégration de systèmes,"MoD / Armées, Sécurité civile",Lidar / Laser · robotique / autonomie,Lidar / Laser · Robotique & autonomie,Prestataire potentiel de MCO / MRO pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
1951,SNECI,France,https://www.sneci.com/,,"Sous-traite la fabrication de véhicules militaires, robots terrestres (UGV) pour armées et forces de sécurité.",OEM,véhicules militaires · robots terrestres (UGV) · batteries / sources d'énergie · réseaux de communication · drones aériens,Véhicules tactiques (non blindés) · Robots terrestres (UGV / EOD) · Batteries & packs énergétiques · Réseaux militaires (5G/P-LTE/MANET) · Drones aériens (UAV),ingénierie / conseil · formation · certification / tests · sous-traitance · support opérationnel,Ingénierie & conseil · Formation & entraînement · Certification & tests · Sous-traitance industrielle · Support opérationnel & OPEX,"Primes défense, Sécurité civile, MoD / Armées, Export / international",robotique / autonomie · matériaux composites · cybersécurité · IA / vision · fabrication additive,Robotique & autonomie · Matériaux composites · Cybersécurité · IA / machine learning · Fabrication additive,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
1952,Snigel,Sweden,,,"Conçoit et fabrique des sacs tactiques, gilets, holsters et équipement individuel pour militaires et police.",OEM,sacs à dos tactiques · gilets porte-équipement · holsters · ceinturons modulaires,Équipement du fantassin (général) · Gilets & plaques pare-balles,personnalisation · fourniture OEM,Sous-traitance industrielle,"MoD / Armées, Sécurité civile, Export / international",textiles techniques tactiques,Autre — à qualifier,Fournisseur scandinave d'équipement individuel — partenaire pour les armées nordiques et la police.,85,manual
1953,SNOWPACK,France,https://snowpack.eu/fr/,,"Véritable Zero-Trust N’ayez confiance en personne, même pas nous Au-delà du Zero-Trust : contrôlez et gérez l'accès à vos actifs en toute…",OEM,solutions cyber · équipement logistique · réseaux de communication · logiciels métier défense · armes,Cybersécurité (logiciels & appliances) · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Logiciels métier défense (autres) · Armes légères & accessoires,ingénierie / conseil · services cloud / données · intégration de systèmes,Ingénierie & conseil · Services cloud & data · Intégration de systèmes,"Sécurité civile, MoD / Armées, Primes défense, Export / international",cloud · cybersécurité · cryptographie · IA / vision · robotique / autonomie,Cloud & cloud souverain · Cybersécurité · Cryptographie · IA / machine learning · Robotique & autonomie,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,high
1954,SOAIRTECH,France,https://www.soairtech.fr/,,"Sous-traite la mécanique aéronautique (usinage, chaudronnerie) pour la défense et l'aviation civile française.",Tier 3,pièces aéronautiques usinées · ensembles chaudronnés,Pièces mécaniques & usinage,usinage CNC · chaudronnerie aéronautique · certifications EN9100,Certification & tests,"Industriels défense, Primes défense",usinage CNC aéronautique,Autre — à qualifier,"Sous-traitant français aéronautique certifié EN9100 — fournisseur pour Airbus, Dassault et primes hélico.",65,manual
1955,Sobelcomp,Belgium,https://www.sobelcomp.be/,,Découvrir Aéronautique Les avantages des composites dans l'aéronautique sont nombreux.,OEM,robots terrestres (UGV) · véhicules militaires · munitions · matériaux composites · pièces mécaniques,Robots terrestres (UGV / EOD) · Véhicules tactiques (non blindés) · Munitions petit/moyen calibre · Matériaux composites & blindage · Pièces mécaniques & usinage,certification / tests · ingénierie / conseil · intégration de systèmes,Certification & tests · Ingénierie & conseil · Intégration de systèmes,MoD / Armées,robotique / autonomie · matériaux composites,Robotique & autonomie · Matériaux composites,"Acheteur potentiel de capteurs, batteries, propulsion, châssis composite pour ses lignes robotique terrestre — également compétiteur sur le segment robotique terrestre.",100,medium
